"Statistic Label","Year","Household Type","UNIT","VALUE"
"Median Nominal Household Disposable Income","2020","One-person household","Euro","20718"
"Median Nominal Household Disposable Income","2020","Lone parent with at least one child aged less than 25","Euro","35646"
"Median Nominal Household Disposable Income","2020","Lone parent with all children aged 25 or more","Euro","40277"
"Median Nominal Household Disposable Income","2020","Couple without any child(ren)","Euro","49142"
"Median Nominal Household Disposable Income","2020","Couple with at least one child aged less than 25","Euro","63469"
"Median Nominal Household Disposable Income","2020","Couple with all children aged 25 or more","Euro","64482"
"Median Nominal Household Disposable Income","2020","Other type of household","Euro","55199"
"Median Nominal Household Disposable Income","2021","One-person household","Euro","20436"
"Median Nominal Household Disposable Income","2021","Lone parent with at least one child aged less than 25","Euro","38715"
"Median Nominal Household Disposable Income","2021","Lone parent with all children aged 25 or more","Euro","39283"
"Median Nominal Household Disposable Income","2021","Couple without any child(ren)","Euro","49972"
"Median Nominal Household Disposable Income","2021","Couple with at least one child aged less than 25","Euro","68207"
"Median Nominal Household Disposable Income","2021","Couple with all children aged 25 or more","Euro","75317"
"Median Nominal Household Disposable Income","2021","Other type of household","Euro","60800"
"Median Nominal Household Disposable Income","2022","One-person household","Euro","20412"
"Median Nominal Household Disposable Income","2022","Lone parent with at least one child aged less than 25","Euro","38435"
"Median Nominal Household Disposable Income","2022","Lone parent with all children aged 25 or more","Euro","47013"
"Median Nominal Household Disposable Income","2022","Couple without any child(ren)","Euro","52641"
"Median Nominal Household Disposable Income","2022","Couple with at least one child aged less than 25","Euro","70918"
"Median Nominal Household Disposable Income","2022","Couple with all children aged 25 or more","Euro","79549"
"Median Nominal Household Disposable Income","2022","Other type of household","Euro","66051"
"Median Nominal Household Disposable Income","2023","One-person household","Euro","23405"
"Median Nominal Household Disposable Income","2023","Lone parent with at least one child aged less than 25","Euro","41229"
"Median Nominal Household Disposable Income","2023","Lone parent with all children aged 25 or more","Euro","47422"
"Median Nominal Household Disposable Income","2023","Couple without any child(ren)","Euro","56227"
"Median Nominal Household Disposable Income","2023","Couple with at least one child aged less than 25","Euro","72364"
"Median Nominal Household Disposable Income","2023","Couple with all children aged 25 or more","Euro","80939"
"Median Nominal Household Disposable Income","2023","Other type of household","Euro","69250"
"Median Nominal Household Disposable Income","2024","One-person household","Euro","25081"
"Median Nominal Household Disposable Income","2024","Lone parent with at least one child aged less than 25","Euro","46182"
"Median Nominal Household Disposable Income","2024","Lone parent with all children aged 25 or more","Euro","46291"
"Median Nominal Household Disposable Income","2024","Couple without any child(ren)","Euro","60536"
"Median Nominal Household Disposable Income","2024","Couple with at least one child aged less than 25","Euro","78338"
"Median Nominal Household Disposable Income","2024","Couple with all children aged 25 or more","Euro","85788"
"Median Nominal Household Disposable Income","2024","Other type of household","Euro","82166"
