"STATISTIC Label","Year","Type of House","UNIT","VALUE"
"New Dwelling Completions","2011","All house types","Number","6994"
"New Dwelling Completions","2011","Single house","Number","4814"
"New Dwelling Completions","2011","Scheme house","Number","1358"
"New Dwelling Completions","2011","Apartment","Number","822"
"New Dwelling Completions","2012","All house types","Number","4911"
"New Dwelling Completions","2012","Single house","Number","3501"
"New Dwelling Completions","2012","Scheme house","Number","964"
"New Dwelling Completions","2012","Apartment","Number","446"
"New Dwelling Completions","2013","All house types","Number","4575"
"New Dwelling Completions","2013","Single house","Number","2947"
"New Dwelling Completions","2013","Scheme house","Number","1155"
"New Dwelling Completions","2013","Apartment","Number","473"
"New Dwelling Completions","2014","All house types","Number","5518"
"New Dwelling Completions","2014","Single house","Number","2975"
"New Dwelling Completions","2014","Scheme house","Number","1795"
"New Dwelling Completions","2014","Apartment","Number","748"
"New Dwelling Completions","2015","All house types","Number","7219"
"New Dwelling Completions","2015","Single house","Number","3252"
"New Dwelling Completions","2015","Scheme house","Number","3294"
"New Dwelling Completions","2015","Apartment","Number","673"
"New Dwelling Completions","2016","All house types","Number","9728"
"New Dwelling Completions","2016","Single house","Number","3592"
"New Dwelling Completions","2016","Scheme house","Number","5029"
"New Dwelling Completions","2016","Apartment","Number","1107"
"New Dwelling Completions","2017","All house types","Number","14230"
"New Dwelling Completions","2017","Single house","Number","4221"
"New Dwelling Completions","2017","Scheme house","Number","7856"
"New Dwelling Completions","2017","Apartment","Number","2153"
"New Dwelling Completions","2018","All house types","Number","17790"
"New Dwelling Completions","2018","Single house","Number","4638"
"New Dwelling Completions","2018","Scheme house","Number","10946"
"New Dwelling Completions","2018","Apartment","Number","2206"
"New Dwelling Completions","2019","All house types","Number","21033"
"New Dwelling Completions","2019","Single house","Number","5079"
"New Dwelling Completions","2019","Scheme house","Number","12526"
"New Dwelling Completions","2019","Apartment","Number","3428"
"New Dwelling Completions","2020","All house types","Number","20490"
"New Dwelling Completions","2020","Single house","Number","4955"
"New Dwelling Completions","2020","Scheme house","Number","11667"
"New Dwelling Completions","2020","Apartment","Number","3868"
"New Dwelling Completions","2021","All house types","Number","20466"
"New Dwelling Completions","2021","Single house","Number","4715"
"New Dwelling Completions","2021","Scheme house","Number","10671"
"New Dwelling Completions","2021","Apartment","Number","5080"
"New Dwelling Completions","2022","All house types","Number","29623"
"New Dwelling Completions","2022","Single house","Number","5462"
"New Dwelling Completions","2022","Scheme house","Number","15131"
"New Dwelling Completions","2022","Apartment","Number","9030"
"New Dwelling Completions","2023","All house types","Number","32498"
"New Dwelling Completions","2023","Single house","Number","5473"
"New Dwelling Completions","2023","Scheme house","Number","15493"
"New Dwelling Completions","2023","Apartment","Number","11532"
"New Dwelling Completions","2024","All house types","Number","30168"
"New Dwelling Completions","2024","Single house","Number","5286"
"New Dwelling Completions","2024","Scheme house","Number","16193"
"New Dwelling Completions","2024","Apartment","Number","8689"
