Statistic Label,Month,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2008 January,National - all residential properties,Base Jan 2005 = 100,128.1
Residential Property Price Index,2008 January,National - houses,Base Jan 2005 = 100,129.5
Residential Property Price Index,2008 January,National - apartments,Base Jan 2005 = 100,120
Residential Property Price Index,2008 January,Dublin - all residential properties,Base Jan 2005 = 100,127.5
Residential Property Price Index,2008 January,Dublin - houses,Base Jan 2005 = 100,129
Residential Property Price Index,2008 January,Dublin - apartments,Base Jan 2005 = 100,121.9
Residential Property Price Index,2008 February,National - all residential properties,Base Jan 2005 = 100,127
Residential Property Price Index,2008 February,National - houses,Base Jan 2005 = 100,128.2
Residential Property Price Index,2008 February,National - apartments,Base Jan 2005 = 100,119.5
Residential Property Price Index,2008 February,Dublin - all residential properties,Base Jan 2005 = 100,126.8
Residential Property Price Index,2008 February,Dublin - houses,Base Jan 2005 = 100,127.8
Residential Property Price Index,2008 February,Dublin - apartments,Base Jan 2005 = 100,122.5
Residential Property Price Index,2008 March,National - all residential properties,Base Jan 2005 = 100,125.9
Residential Property Price Index,2008 March,National - houses,Base Jan 2005 = 100,126.9
Residential Property Price Index,2008 March,National - apartments,Base Jan 2005 = 100,119.5
Residential Property Price Index,2008 March,Dublin - all residential properties,Base Jan 2005 = 100,126.1
Residential Property Price Index,2008 March,Dublin - houses,Base Jan 2005 = 100,127.1
Residential Property Price Index,2008 March,Dublin - apartments,Base Jan 2005 = 100,122.2
Residential Property Price Index,2008 April,National - all residential properties,Base Jan 2005 = 100,124.8
Residential Property Price Index,2008 April,National - houses,Base Jan 2005 = 100,126
Residential Property Price Index,2008 April,National - apartments,Base Jan 2005 = 100,118
Residential Property Price Index,2008 April,Dublin - all residential properties,Base Jan 2005 = 100,126.1
Residential Property Price Index,2008 April,Dublin - houses,Base Jan 2005 = 100,128.3
Residential Property Price Index,2008 April,Dublin - apartments,Base Jan 2005 = 100,120.5
Residential Property Price Index,2008 May,National - all residential properties,Base Jan 2005 = 100,123.5
Residential Property Price Index,2008 May,National - houses,Base Jan 2005 = 100,125.1
Residential Property Price Index,2008 May,National - apartments,Base Jan 2005 = 100,115.7
Residential Property Price Index,2008 May,Dublin - all residential properties,Base Jan 2005 = 100,126.2
Residential Property Price Index,2008 May,Dublin - houses,Base Jan 2005 = 100,130.3
Residential Property Price Index,2008 May,Dublin - apartments,Base Jan 2005 = 100,117.4
Residential Property Price Index,2008 June,National - all residential properties,Base Jan 2005 = 100,122.3
Residential Property Price Index,2008 June,National - houses,Base Jan 2005 = 100,124
Residential Property Price Index,2008 June,National - apartments,Base Jan 2005 = 100,114.1
Residential Property Price Index,2008 June,Dublin - all residential properties,Base Jan 2005 = 100,124.9
Residential Property Price Index,2008 June,Dublin - houses,Base Jan 2005 = 100,130
Residential Property Price Index,2008 June,Dublin - apartments,Base Jan 2005 = 100,114.4
Residential Property Price Index,2008 July,National - all residential properties,Base Jan 2005 = 100,121.6
Residential Property Price Index,2008 July,National - houses,Base Jan 2005 = 100,123.3
Residential Property Price Index,2008 July,National - apartments,Base Jan 2005 = 100,112.7
Residential Property Price Index,2008 July,Dublin - all residential properties,Base Jan 2005 = 100,123.4
Residential Property Price Index,2008 July,Dublin - houses,Base Jan 2005 = 100,128.6
Residential Property Price Index,2008 July,Dublin - apartments,Base Jan 2005 = 100,112.4
Residential Property Price Index,2008 August,National - all residential properties,Base Jan 2005 = 100,120.3
Residential Property Price Index,2008 August,National - houses,Base Jan 2005 = 100,122.2
Residential Property Price Index,2008 August,National - apartments,Base Jan 2005 = 100,110.8
Residential Property Price Index,2008 August,Dublin - all residential properties,Base Jan 2005 = 100,121.7
Residential Property Price Index,2008 August,Dublin - houses,Base Jan 2005 = 100,126.8
Residential Property Price Index,2008 August,Dublin - apartments,Base Jan 2005 = 100,110.2
Residential Property Price Index,2008 September,National - all residential properties,Base Jan 2005 = 100,118.8
Residential Property Price Index,2008 September,National - houses,Base Jan 2005 = 100,120.7
Residential Property Price Index,2008 September,National - apartments,Base Jan 2005 = 100,108.8
Residential Property Price Index,2008 September,Dublin - all residential properties,Base Jan 2005 = 100,117.5
Residential Property Price Index,2008 September,Dublin - houses,Base Jan 2005 = 100,122.4
Residential Property Price Index,2008 September,Dublin - apartments,Base Jan 2005 = 100,106.7
Residential Property Price Index,2008 October,National - all residential properties,Base Jan 2005 = 100,116.2
Residential Property Price Index,2008 October,National - houses,Base Jan 2005 = 100,118.7
Residential Property Price Index,2008 October,National - apartments,Base Jan 2005 = 100,104.6
Residential Property Price Index,2008 October,Dublin - all residential properties,Base Jan 2005 = 100,113.4
Residential Property Price Index,2008 October,Dublin - houses,Base Jan 2005 = 100,119.6
Residential Property Price Index,2008 October,Dublin - apartments,Base Jan 2005 = 100,100.9
Residential Property Price Index,2008 November,National - all residential properties,Base Jan 2005 = 100,114.1
Residential Property Price Index,2008 November,National - houses,Base Jan 2005 = 100,116.8
Residential Property Price Index,2008 November,National - apartments,Base Jan 2005 = 100,101.5
Residential Property Price Index,2008 November,Dublin - all residential properties,Base Jan 2005 = 100,110.2
Residential Property Price Index,2008 November,Dublin - houses,Base Jan 2005 = 100,116.5
Residential Property Price Index,2008 November,Dublin - apartments,Base Jan 2005 = 100,97.2
Residential Property Price Index,2008 December,National - all residential properties,Base Jan 2005 = 100,111.9
Residential Property Price Index,2008 December,National - houses,Base Jan 2005 = 100,114.5
Residential Property Price Index,2008 December,National - apartments,Base Jan 2005 = 100,99
Residential Property Price Index,2008 December,Dublin - all residential properties,Base Jan 2005 = 100,108
Residential Property Price Index,2008 December,Dublin - houses,Base Jan 2005 = 100,114
Residential Property Price Index,2008 December,Dublin - apartments,Base Jan 2005 = 100,94.8
Residential Property Price Index,2009 January,National - all residential properties,Base Jan 2005 = 100,109
Residential Property Price Index,2009 January,National - houses,Base Jan 2005 = 100,111.7
Residential Property Price Index,2009 January,National - apartments,Base Jan 2005 = 100,95.8
Residential Property Price Index,2009 January,Dublin - all residential properties,Base Jan 2005 = 100,105
Residential Property Price Index,2009 January,Dublin - houses,Base Jan 2005 = 100,110.1
Residential Property Price Index,2009 January,Dublin - apartments,Base Jan 2005 = 100,92.9
Residential Property Price Index,2009 February,National - all residential properties,Base Jan 2005 = 100,106
Residential Property Price Index,2009 February,National - houses,Base Jan 2005 = 100,108.7
Residential Property Price Index,2009 February,National - apartments,Base Jan 2005 = 100,92.3
Residential Property Price Index,2009 February,Dublin - all residential properties,Base Jan 2005 = 100,100.3
Residential Property Price Index,2009 February,Dublin - houses,Base Jan 2005 = 100,105.1
Residential Property Price Index,2009 February,Dublin - apartments,Base Jan 2005 = 100,89.1
Residential Property Price Index,2009 March,National - all residential properties,Base Jan 2005 = 100,103.2
Residential Property Price Index,2009 March,National - houses,Base Jan 2005 = 100,105.8
Residential Property Price Index,2009 March,National - apartments,Base Jan 2005 = 100,89.8
Residential Property Price Index,2009 March,Dublin - all residential properties,Base Jan 2005 = 100,96.6
Residential Property Price Index,2009 March,Dublin - houses,Base Jan 2005 = 100,100.9
Residential Property Price Index,2009 March,Dublin - apartments,Base Jan 2005 = 100,86.5
Residential Property Price Index,2009 April,National - all residential properties,Base Jan 2005 = 100,100.9
Residential Property Price Index,2009 April,National - houses,Base Jan 2005 = 100,103.6
Residential Property Price Index,2009 April,National - apartments,Base Jan 2005 = 100,86.5
Residential Property Price Index,2009 April,Dublin - all residential properties,Base Jan 2005 = 100,92.9
Residential Property Price Index,2009 April,Dublin - houses,Base Jan 2005 = 100,96.6
Residential Property Price Index,2009 April,Dublin - apartments,Base Jan 2005 = 100,84
Residential Property Price Index,2009 May,National - all residential properties,Base Jan 2005 = 100,98.5
Residential Property Price Index,2009 May,National - houses,Base Jan 2005 = 100,101.1
Residential Property Price Index,2009 May,National - apartments,Base Jan 2005 = 100,84.3
Residential Property Price Index,2009 May,Dublin - all residential properties,Base Jan 2005 = 100,90.9
Residential Property Price Index,2009 May,Dublin - houses,Base Jan 2005 = 100,93.8
Residential Property Price Index,2009 May,Dublin - apartments,Base Jan 2005 = 100,83
Residential Property Price Index,2009 June,National - all residential properties,Base Jan 2005 = 100,96.9
Residential Property Price Index,2009 June,National - houses,Base Jan 2005 = 100,99.5
Residential Property Price Index,2009 June,National - apartments,Base Jan 2005 = 100,82.1
Residential Property Price Index,2009 June,Dublin - all residential properties,Base Jan 2005 = 100,89.8
Residential Property Price Index,2009 June,Dublin - houses,Base Jan 2005 = 100,92.7
Residential Property Price Index,2009 June,Dublin - apartments,Base Jan 2005 = 100,81.9
Residential Property Price Index,2009 July,National - all residential properties,Base Jan 2005 = 100,95.5
Residential Property Price Index,2009 July,National - houses,Base Jan 2005 = 100,98.1
Residential Property Price Index,2009 July,National - apartments,Base Jan 2005 = 100,80.3
Residential Property Price Index,2009 July,Dublin - all residential properties,Base Jan 2005 = 100,88.9
Residential Property Price Index,2009 July,Dublin - houses,Base Jan 2005 = 100,92.2
Residential Property Price Index,2009 July,Dublin - apartments,Base Jan 2005 = 100,80.4
Residential Property Price Index,2009 August,National - all residential properties,Base Jan 2005 = 100,94.3
Residential Property Price Index,2009 August,National - houses,Base Jan 2005 = 100,97.1
Residential Property Price Index,2009 August,National - apartments,Base Jan 2005 = 100,78.2
Residential Property Price Index,2009 August,Dublin - all residential properties,Base Jan 2005 = 100,89
Residential Property Price Index,2009 August,Dublin - houses,Base Jan 2005 = 100,93.5
Residential Property Price Index,2009 August,Dublin - apartments,Base Jan 2005 = 100,78.8
Residential Property Price Index,2009 September,National - all residential properties,Base Jan 2005 = 100,94.2
Residential Property Price Index,2009 September,National - houses,Base Jan 2005 = 100,97.6
Residential Property Price Index,2009 September,National - apartments,Base Jan 2005 = 100,76
Residential Property Price Index,2009 September,Dublin - all residential properties,Base Jan 2005 = 100,88.6
Residential Property Price Index,2009 September,Dublin - houses,Base Jan 2005 = 100,94.4
Residential Property Price Index,2009 September,Dublin - apartments,Base Jan 2005 = 100,76.3
Residential Property Price Index,2009 October,National - all residential properties,Base Jan 2005 = 100,93.1
Residential Property Price Index,2009 October,National - houses,Base Jan 2005 = 100,96.5
Residential Property Price Index,2009 October,National - apartments,Base Jan 2005 = 100,74.6
Residential Property Price Index,2009 October,Dublin - all residential properties,Base Jan 2005 = 100,86.6
Residential Property Price Index,2009 October,Dublin - houses,Base Jan 2005 = 100,92.1
Residential Property Price Index,2009 October,Dublin - apartments,Base Jan 2005 = 100,74.8
Residential Property Price Index,2009 November,National - all residential properties,Base Jan 2005 = 100,92.8
Residential Property Price Index,2009 November,National - houses,Base Jan 2005 = 100,96.1
Residential Property Price Index,2009 November,National - apartments,Base Jan 2005 = 100,73.9
Residential Property Price Index,2009 November,Dublin - all residential properties,Base Jan 2005 = 100,85
Residential Property Price Index,2009 November,Dublin - houses,Base Jan 2005 = 100,89.6
Residential Property Price Index,2009 November,Dublin - apartments,Base Jan 2005 = 100,74.5
Residential Property Price Index,2009 December,National - all residential properties,Base Jan 2005 = 100,91.5
Residential Property Price Index,2009 December,National - houses,Base Jan 2005 = 100,94.8
Residential Property Price Index,2009 December,National - apartments,Base Jan 2005 = 100,73
Residential Property Price Index,2009 December,Dublin - all residential properties,Base Jan 2005 = 100,83.2
Residential Property Price Index,2009 December,Dublin - houses,Base Jan 2005 = 100,87.5
Residential Property Price Index,2009 December,Dublin - apartments,Base Jan 2005 = 100,73.3
Residential Property Price Index,2010 January,National - all residential properties,Base Jan 2005 = 100,90.6
Residential Property Price Index,2010 January,National - houses,Base Jan 2005 = 100,93.8
Residential Property Price Index,2010 January,National - apartments,Base Jan 2005 = 100,72.2
Residential Property Price Index,2010 January,Dublin - all residential properties,Base Jan 2005 = 100,81.1
Residential Property Price Index,2010 January,Dublin - houses,Base Jan 2005 = 100,85
Residential Property Price Index,2010 January,Dublin - apartments,Base Jan 2005 = 100,72.2
Residential Property Price Index,2010 February,National - all residential properties,Base Jan 2005 = 100,89.2
Residential Property Price Index,2010 February,National - houses,Base Jan 2005 = 100,92.3
Residential Property Price Index,2010 February,National - apartments,Base Jan 2005 = 100,71.5
Residential Property Price Index,2010 February,Dublin - all residential properties,Base Jan 2005 = 100,79.2
Residential Property Price Index,2010 February,Dublin - houses,Base Jan 2005 = 100,82.8
Residential Property Price Index,2010 February,Dublin - apartments,Base Jan 2005 = 100,71.6
Residential Property Price Index,2010 March,National - all residential properties,Base Jan 2005 = 100,88.1
Residential Property Price Index,2010 March,National - houses,Base Jan 2005 = 100,91.3
Residential Property Price Index,2010 March,National - apartments,Base Jan 2005 = 100,70.3
Residential Property Price Index,2010 March,Dublin - all residential properties,Base Jan 2005 = 100,77.5
Residential Property Price Index,2010 March,Dublin - houses,Base Jan 2005 = 100,80.9
Residential Property Price Index,2010 March,Dublin - apartments,Base Jan 2005 = 100,70.2
Residential Property Price Index,2010 April,National - all residential properties,Base Jan 2005 = 100,87.6
Residential Property Price Index,2010 April,National - houses,Base Jan 2005 = 100,90.5
Residential Property Price Index,2010 April,National - apartments,Base Jan 2005 = 100,70.8
Residential Property Price Index,2010 April,Dublin - all residential properties,Base Jan 2005 = 100,77.3
Residential Property Price Index,2010 April,Dublin - houses,Base Jan 2005 = 100,80.4
Residential Property Price Index,2010 April,Dublin - apartments,Base Jan 2005 = 100,70.8
Residential Property Price Index,2010 May,National - all residential properties,Base Jan 2005 = 100,86.1
Residential Property Price Index,2010 May,National - houses,Base Jan 2005 = 100,89.1
Residential Property Price Index,2010 May,National - apartments,Base Jan 2005 = 100,69.4
Residential Property Price Index,2010 May,Dublin - all residential properties,Base Jan 2005 = 100,76.5
Residential Property Price Index,2010 May,Dublin - houses,Base Jan 2005 = 100,79.9
Residential Property Price Index,2010 May,Dublin - apartments,Base Jan 2005 = 100,69.4
Residential Property Price Index,2010 June,National - all residential properties,Base Jan 2005 = 100,85.1
Residential Property Price Index,2010 June,National - houses,Base Jan 2005 = 100,88.3
Residential Property Price Index,2010 June,National - apartments,Base Jan 2005 = 100,68.2
Residential Property Price Index,2010 June,Dublin - all residential properties,Base Jan 2005 = 100,75.5
Residential Property Price Index,2010 June,Dublin - houses,Base Jan 2005 = 100,79.2
Residential Property Price Index,2010 June,Dublin - apartments,Base Jan 2005 = 100,67.4
Residential Property Price Index,2010 July,National - all residential properties,Base Jan 2005 = 100,84.2
Residential Property Price Index,2010 July,National - houses,Base Jan 2005 = 100,87.5
